channel_index,channel_name,base_variable,channel_type,proxy_concept,mapping_weight,mapping_source,clinical_rationale,included_in_primary_analysis,sensitivity_proxy_concept
0,V_ALP,ALP,V,unassigned,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
1,V_ALT,ALT,V,unassigned,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
2,V_AST,AST,V,unassigned,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
3,V_Albumin,Albumin,V,unassigned,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
4,V_BUN,BUN,V,renal_dysfunction,1.0,existing_proxy_formula:BUN,variable used directly or through rolling urine by the frozen renal proxy formula,True,renal_dysfunction
5,V_Bilirubin,Bilirubin,V,unassigned,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
6,V_Cholesterol,Cholesterol,V,unassigned,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
7,V_Creatinine,Creatinine,V,renal_dysfunction,1.0,existing_proxy_formula:Creatinine,variable used directly or through rolling urine by the frozen renal proxy formula,True,renal_dysfunction
8,V_DiasABP,DiasABP,V,hemodynamic_instability,1.0,existing_proxy_formula:DiasABP,variable used by the frozen hemodynamic proxy formula,True,hemodynamic_instability
9,V_FiO2,FiO2,V,respiratory_dysfunction,1.0,"existing_proxy_formula:PFratio(PaO2,FiO2)",variable used directly or through P/F ratio by the frozen respiratory proxy formula,True,respiratory_dysfunction
10,V_GCS,GCS,V,neurological_dysfunction,1.0,existing_proxy_formula:GCS,variable used by the frozen neurological proxy formula,True,neurological_dysfunction
11,V_Glucose,Glucose,V,metabolic_inflammatory_dysregulation,1.0,existing_proxy_formula:Glucose,variable used by the frozen metabolic-inflammatory proxy formula,True,metabolic_inflammatory_dysregulation
12,V_HCO3,HCO3,V,metabolic_inflammatory_dysregulation,1.0,existing_proxy_formula:HCO3,variable used by the frozen metabolic-inflammatory proxy formula,True,metabolic_inflammatory_dysregulation
13,V_HCT,HCT,V,unassigned,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
14,V_HR,HR,V,hemodynamic_instability,1.0,existing_proxy_formula:HR,variable used by the frozen hemodynamic proxy formula,True,hemodynamic_instability
15,V_K,K,V,metabolic_inflammatory_dysregulation,1.0,existing_proxy_formula:K,variable used by the frozen metabolic-inflammatory proxy formula,True,metabolic_inflammatory_dysregulation
16,V_Lactate,Lactate,V,hemodynamic_instability,1.0,existing_proxy_formula:Lactate,variable used by the frozen hemodynamic proxy formula,True,hemodynamic_instability
17,V_MAP,MAP,V,hemodynamic_instability,1.0,existing_proxy_formula:MAP,variable used by the frozen hemodynamic proxy formula,True,hemodynamic_instability
18,V_MechVent,MechVent,V,respiratory_dysfunction,1.0,existing_proxy_formula:MechVent,variable used directly or through P/F ratio by the frozen respiratory proxy formula,True,respiratory_dysfunction
19,V_Mg,Mg,V,unassigned,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
20,V_NIDiasABP,NIDiasABP,V,hemodynamic_instability,1.0,existing_proxy_formula:NIDiasABP,variable used by the frozen hemodynamic proxy formula,True,hemodynamic_instability
21,V_NIMAP,NIMAP,V,hemodynamic_instability,1.0,existing_proxy_formula:NIMAP,variable used by the frozen hemodynamic proxy formula,True,hemodynamic_instability
22,V_NISysABP,NISysABP,V,hemodynamic_instability,1.0,existing_proxy_formula:NISysABP,variable used by the frozen hemodynamic proxy formula,True,hemodynamic_instability
23,V_Na,Na,V,metabolic_inflammatory_dysregulation,1.0,existing_proxy_formula:Na,variable used by the frozen metabolic-inflammatory proxy formula,True,metabolic_inflammatory_dysregulation
24,V_PaCO2,PaCO2,V,unassigned,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
25,V_PaO2,PaO2,V,respiratory_dysfunction,1.0,"existing_proxy_formula:PFratio(PaO2,FiO2)",variable used directly or through P/F ratio by the frozen respiratory proxy formula,True,respiratory_dysfunction
26,V_Platelets,Platelets,V,metabolic_inflammatory_dysregulation,1.0,existing_proxy_formula:Platelets,variable used by the frozen metabolic-inflammatory proxy formula,True,metabolic_inflammatory_dysregulation
27,V_RespRate,RespRate,V,respiratory_dysfunction,1.0,existing_proxy_formula:RespRate,variable used directly or through P/F ratio by the frozen respiratory proxy formula,True,respiratory_dysfunction
28,V_SaO2,SaO2,V,respiratory_dysfunction,1.0,existing_proxy_formula:SaO2,variable used directly or through P/F ratio by the frozen respiratory proxy formula,True,respiratory_dysfunction
29,V_SysABP,SysABP,V,hemodynamic_instability,1.0,existing_proxy_formula:SysABP,variable used by the frozen hemodynamic proxy formula,True,hemodynamic_instability
30,V_Temp,Temp,V,metabolic_inflammatory_dysregulation,1.0,existing_proxy_formula:Temp,variable used by the frozen metabolic-inflammatory proxy formula,True,metabolic_inflammatory_dysregulation
31,V_TroponinI,TroponinI,V,unassigned,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
32,V_TroponinT,TroponinT,V,unassigned,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
33,V_Urine,Urine,V,renal_dysfunction,1.0,existing_proxy_formula:Urine6h(Urine),variable used directly or through rolling urine by the frozen renal proxy formula,True,renal_dysfunction
34,V_WBC,WBC,V,metabolic_inflammatory_dysregulation,1.0,existing_proxy_formula:WBC,variable used by the frozen metabolic-inflammatory proxy formula,True,metabolic_inflammatory_dysregulation
35,V_Weight,Weight,V,unassigned,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
36,V_pH,pH,V,metabolic_inflammatory_dysregulation,1.0,existing_proxy_formula:pH,variable used by the frozen metabolic-inflammatory proxy formula,True,metabolic_inflammatory_dysregulation
37,M_ALP,ALP,M,observation_process,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
38,M_ALT,ALT,M,observation_process,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
39,M_AST,AST,M,observation_process,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
40,M_Albumin,Albumin,M,observation_process,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
41,M_BUN,BUN,M,observation_process,0.0,existing_proxy_formula:BUN,variable used directly or through rolling urine by the frozen renal proxy formula,False,renal_dysfunction
42,M_Bilirubin,Bilirubin,M,observation_process,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
43,M_Cholesterol,Cholesterol,M,observation_process,0.0,frozen_input_schema:unassigned,not used by any frozen proxy formula,False,unassigned
44,M_Creatinine,Creatinine,M,observation_process,0.0,existing_proxy_formula:Creatinine,variable used directly or through rolling urine by the frozen renal proxy formula,False,renal_dysfunction
45,M_DiasABP,DiasABP,M,observation_process,0.0,existing_proxy_formula:DiasABP,variable used by the frozen hemodynamic proxy formula,False,hemodynamic_instability
46,M_FiO2,FiO2,M,observation_process,0.0,"existing_proxy_formula:PFratio(PaO2,FiO2)",variable used directly or through P/F ratio by the frozen respiratory proxy formula,False,respiratory_dysfunction
47,M_GCS,GCS,M,observation_process,0.0,existing_proxy_formula:GCS,variable used by the frozen neurological proxy formula,False,neurological_dysfunction
